,HSMmass,Amass,Neuhiggs,Hpmass,Hppmass,VevTriplet,LHT2,Kappa,rYx11,rYx12,rYx13,rYx21,rYx22,rYx23,rYx31,rYx32,rYx33,TotalDecaySMh,TotalDecayNH,TotalDecayA,TotalDecayHp,TotalDecayHpp
0,124.49096352747856,262.4670032965751,262.4670032965751,195.02912120881942,84.75723225474259,3.663e-08,-2.0393,5.897000000000001e-08,5.629211992262478e-05,-3.353098009929492e-05,-0.00012799723155704296,-3.353098009929492e-05,0.0006099613445668268,0.00040924511149203536,-0.00012799723155704296,0.00040924511149203536,0.0004536003526498748,0.005700326,0.02285981,0.009602274,1.427803,3.204629e-06
1,124.49096352747856,144.31185797920705,144.31185797920705,124.6103388704598,101.14129104085444,1.3819999999999998e-07,-0.3502,6.726e-08,1.4920263044614654e-05,-8.887408111701686e-06,-3.392574957984431e-05,-8.887408111701686e-06,0.00016167065160262563,0.0001084706833136994,-3.392574957984431e-05,0.0001084706833136994,0.00012022706886805293,0.005700991,2.276778e-05,1.666606e-05,4.407687e-05,2.687074e-07
2,124.49096352747705,129.12627501509158,129.1262750150928,116.98554354822241,103.42939572129886,5.99e-06,-0.1975,2.334e-06,3.4423712066206086e-07,-2.0504838080754136e-07,-7.827276447302977e-07,-2.0504838080754136e-07,3.730030726457906e-06,2.5026124263694914e-06,-7.827276447302977e-07,2.5026124263694914e-06,2.773853241663591e-06,0.005700991,6.252992e-06,4.235758e-06,1.6157e-05,1.462763e-10
3,124.4909635229894,281.894767960181,281.8947676981657,203.6670808074009,59.12613191162246,0.005043,-2.5107,0.009365,4.0887970508938035e-10,-2.435534009591856e-10,-9.297121935226023e-10,-2.435534009591856e-10,4.4304747276388775e-09,2.972565622437687e-09,-9.297121935226023e-10,2.972565622437687e-09,3.2947414074092625e-09,0.03589235,0.06816267,0.04365779,4.169952,1.17856e-16
4,124.490963527448,333.1746117017448,333.17461170018316,241.97430851620385,78.08847598503799,0.0003634,-3.4671,0.0009427,5.67413415730805e-09,-3.3798563594858922e-09,-1.2901867341591863e-08,-3.3798563594858922e-09,6.148289502334305e-08,4.1251096406035375e-08,-1.2901867341591863e-08,4.1251096406035375e-08,4.572201683424577e-08,0.005701786,0.5440016,0.4916722,7.961105,2.999412e-14
5,124.49096352747343,196.0908874225057,196.09088742246968,149.93315453940463,80.67382183914637,7.001e-05,-1.0557,6.291e-05,2.9452654660273463e-08,-1.754377661815702e-08,-6.696955566254082e-08,-1.754377661815702e-08,3.191384666688025e-07,2.141215316948044e-07,-6.696955566254082e-08,2.141215316948044e-07,2.3732868043943595e-07,0.005700414,0.001945439,0.0009251171,0.006760262,8.349544e-13
6,124.49096352747856,126.26149946195277,126.26149946195277,115.94246610444641,104.610442339093,7.046e-08,-0.1652,2.625e-08,2.9264552267467292e-05,-1.7431731493573277e-05,-6.654184774247068e-05,-1.7431731493573277e-05,0.000317100256194761,0.00021275402262210124,-6.654184774247068e-05,0.00021275402262210124,0.00023581295653654435,0.005700992,6.508081e-06,4.805388e-06,1.605936e-05,1.069243e-06
7,124.49096352122422,144.59323950655275,144.5932395081816,128.7057959477428,110.55839592881027,0.0007402999999999999,-0.287,0.0003617,2.785330748028833e-09,-1.659110902387104e-09,-6.333295409880432e-09,-1.659110902387104e-09,3.018085107589202e-08,2.0249423792993728e-08,-6.333295409880432e-09,2.0249423792993728e-08,2.244411848921372e-08,0.005700933,1.416136e-05,7.929231e-06,2.341551e-05,3.020733e-14
8,124.49096352747856,166.1443553578363,166.1443553578363,148.05398176770188,127.4206271263448,6.224000000000001e-07,-0.3757,4.015e-07,3.3129504382483063e-06,-1.973392996525021e-06,-7.532999023030983e-06,-1.973392996525021e-06,3.589794995418197e-05,2.408523205969353e-05,-7.532999023030983e-06,2.408523205969353e-05,2.669566342796419e-05,0.005701466,0.0002082288,1.265529e-05,3.153373e-05,1.66938e-08
9,124.49096352747856,187.89979153434703,187.89979153434703,141.1494401641434,67.37950176909212,7.878e-08,-1.0168,6.5e-08,2.6173906483444346e-05,-1.5590756550357614e-05,-5.951432586867841e-05,-1.5590756550357614e-05,0.0002836111202269975,0.00019028495092603777,-5.951432586867841e-05,0.00019028495092603777,0.0002109086178924208,0.005700415,0.001750476,0.0009736305,0.009473473,5.505349e-07
10,124.49096352747856,181.74144555108487,181.74144555108487,154.45299424419696,121.1672473525661,1.2199999999999998e-07,-0.6064,9.417e-08,1.690147830135857e-05,-1.0067539352763713e-05,-3.843064419618429e-05,-1.0067539352763713e-05,0.0001831383938646136,0.0001228741674914201,-3.843064419618429e-05,0.0001228741674914201,0.00013619164686528616,0.005701771,0.000592532,7.154937e-05,0.0001823207,4.131545e-07
11,124.49096352747291,244.84288585743252,244.8428858574092,193.96046131876489,123.66601131671196,5.315e-05,-1.4758,7.446e-05,3.8795491115065765e-08,-2.310893322741624e-08,-8.821333192727155e-08,-2.310893322741624e-08,4.2037411197521855e-07,2.8204418502263885e-07,-8.821333192727155e-08,2.8204418502263885e-07,3.1261299938974433e-07,0.005700617,0.004551502,0.002173617,0.009458249,2.249663e-12
12,124.49096352746237,277.32547168147056,277.3254716812504,208.4287800263417,99.87840328740593,0.000149,-2.2121,0.0002678,1.3838794313864065e-08,-8.243220141189079e-09,-3.146670195929183e-08,-8.243220141189079e-09,1.4995224195626086e-07,1.0060837875136413e-07,-3.146670195929183e-08,1.0060837875136413e-07,1.115126236078182e-07,0.005700617,0.0309539,0.01184923,1.444498,2.283796e-13
13,124.49096352747223,160.58095981484394,160.5809598147774,117.74158039980655,44.044464522134206,9.98e-05,-0.7881,6.014000000000001e-05,2.0661125779215885e-08,-1.230701203444061e-08,-4.697934460856196e-08,-1.230701203444061e-08,2.2387659370223308e-07,1.5020689813580415e-07,-4.697934460856196e-08,1.5020689813580415e-07,1.664867827411314e-07,0.07380626,0.0006972175,0.0005849991,0.007164242,2.239025e-13
14,124.49096352747841,211.80680614311748,211.8068061431169,167.7318926994744,106.79818597966884,9.092e-06,-1.1057,9.532000000000001e-06,2.267906239293605e-07,-1.3509016729401374e-07,-5.156773638291336e-07,-1.3509016729401374e-07,2.457422354980517e-06,1.6487734749178675e-06,-5.156773638291336e-07,1.6487734749178675e-06,1.8274726042196342e-06,0.005701771,0.002246446,0.0007596366,0.003588922,6.556046e-11
15,124.49096352747858,137.80387319547435,137.80387319547435,117.1279807205536,91.91311259920627,2.0899999999999998e-07,-0.3484,9.275e-08,9.865934702228446e-06,-5.8767454595080045e-06,-2.2433199004471217e-05,-5.8767454595080045e-06,0.00010690375144250176,7.172559059307777e-05,-2.2433199004471217e-05,7.172559059307777e-05,7.949943022758331e-05,0.005700991,2.315922e-05,1.950024e-05,5.417581e-05,1.067607e-07
16,124.49096352661459,207.1290810992,207.12908109264285,158.2726642073287,84.8411234882595,0.0009237,-1.18,0.0009261,2.2323052427906737e-09,-1.3296955732783078e-09,-5.075823960089297e-09,-1.3296955732783078e-09,2.418846384267929e-08,1.6228914619414586e-08,-5.075823960089297e-09,1.6228914619414586e-08,1.798785419244875e-08,0.005700415,0.00263134,0.001264006,0.01051834,5.093137e-15
17,124.49096352500908,149.62986072776908,149.62986070950097,109.64809354588031,40.697833083213155,0.0017100000000000001,-0.6852,0.0008947000000000002,1.2058364636056987e-09,-7.182688894954228e-10,-2.7418354338798152e-09,-7.182688894954228e-10,1.3066014065194654e-08,8.766461072487283e-09,-2.7418354338798152e-09,8.766461072487283e-09,9.716597027815736e-09,0.07864926,0.0004692312,0.0004032967,0.004345045,7.043793e-16
18,124.49096222540877,147.6694680193529,147.66946848864256,136.43332697697338,124.18467567401107,0.009535,-0.211,0.0048590000000000005,2.16253838779837e-10,-1.288138228670344e-10,-4.917187825835851e-10,-1.288138228670344e-10,2.3432495072347e-09,1.5721707848928427e-09,-4.917187825835851e-10,1.5721707848928427e-09,1.7425674795558374e-09,0.005700605,1.244966e-05,4.317108e-06,1.624707e-05,4.116848e-12
